work_date,department,volume,labor_hours,avg_hourly_rate,labor_cost
2025-10-18,F&B,1621,145.53,34.91,5079.67
2025-10-19,Slots,960,118.13,26.4,3118.23
2025-10-19,Tables,1615,122.11,29.04,3546.62
2025-10-19,Hotel,1958,150.08,23.24,3487.36
2025-10-19,F&B,1487,171.79,24.25,4166.2
2025-10-20,Slots,1845,190.05,34.54,6564.58
2025-10-20,Tables,1362,95.62,28.73,2747.02
2025-10-20,Hotel,1025,98.08,28.97,2841.09
2025-10-20,F&B,1678,146.58,21.32,3124.97
2025-10-21,Slots,1615,162.06,18.41,2984.08
2025-10-21,Tables,1872,225.4,34.91,7868.13
2025-10-21,Hotel,957,65.2,33.55,2187.7
2025-10-21,F&B,898,67.86,34.2,2320.8
2025-10-22,Slots,1296,109.19,27.73,3027.69
2025-10-22,Tables,1499,107.29,23.01,2468.35
2025-10-22,Hotel,1780,190.65,22.56,4301.89
2025-10-22,F&B,927,87.38,24.71,2159.14
2025-10-23,Slots,1365,106.04,27.69,2936.42
2025-10-23,Tables,1425,115.81,34.83,4033.63
2025-10-23,Hotel,1761,180.08,23.02,4145.36
2025-10-23,F&B,1584,113.62,20.32,2309.14
2025-10-24,Slots,1045,99.37,22.99,2284.58
2025-10-24,Tables,1558,142.43,22.36,3184.17
2025-10-24,Hotel,1207,83.86,26.69,2238.51
2025-10-24,F&B,835,61.45,29.05,1785.11
2025-10-25,Slots,1311,121.64,18.86,2294.55
2025-10-25,Tables,1270,155.0,27.84,4315.43
2025-10-25,Hotel,1526,120.12,23.58,2832.21
2025-10-25,F&B,1374,92.38,32.26,2980.44
2025-10-26,Slots,1369,166.68,18.63,3106.01
2025-10-26,Tables,1637,161.71,27.13,4387.34
2025-10-26,Hotel,1412,121.14,31.09,3766.3
2025-10-26,F&B,1803,122.18,25.77,3149.04
2025-10-27,Slots,1573,188.12,27.03,5085.4
2025-10-27,Tables,846,65.6,20.35,1335.07
2025-10-27,Hotel,1455,98.11,26.78,2626.98
2025-10-27,F&B,1456,134.92,25.37,3422.85
2025-10-28,Slots,1881,220.02,18.43,4055.19
2025-10-28,Tables,916,106.93,25.28,2703.41
2025-10-28,Hotel,1812,215.53,33.56,7232.74
2025-10-28,F&B,1601,165.42,19.6,3241.51
2025-10-29,Slots,1287,88.5,28.85,2553.29
2025-10-29,Tables,1503,126.51,28.4,3592.79
2025-10-29,Hotel,1046,125.51,27.62,3466.91
2025-10-29,F&B,1796,203.14,23.81,4837.18
2025-10-30,Slots,1892,218.5,23.29,5089.71
2025-10-30,Tables,1757,135.93,26.06,3542.51
2025-10-30,Hotel,1017,76.22,31.72,2417.4
2025-10-30,F&B,1156,107.14,28.47,3050.24
2025-10-31,Slots,1923,231.21,24.37,5634.21
2025-10-31,Tables,1561,107.4,26.52,2848.08
2025-10-31,Hotel,1815,143.92,20.77,2989.28
2025-10-31,F&B,1591,108.92,34.05,3708.93
2025-11-01,Slots,1695,136.09,31.62,4302.7
2025-11-01,Tables,1489,123.94,20.18,2501.73
2025-11-01,Hotel,1756,148.57,34.0,5052.12
2025-11-01,F&B,1991,138.87,21.33,2961.82
2025-11-02,Slots,1196,125.87,24.41,3072.83
2025-11-02,Tables,1298,105.29,23.72,2497.64
2025-11-02,Hotel,889,86.88,32.36,2811.6
2025-11-02,F&B,1821,132.91,22.79,3029.16
2025-11-03,Slots,1625,126.19,28.69,3620.72
2025-11-03,Tables,1212,146.48,25.11,3677.33
2025-11-03,Hotel,1820,182.47,21.02,3834.88
2025-11-03,F&B,1256,104.84,27.79,2913.7
2025-11-04,Slots,1922,176.52,24.32,4293.71
2025-11-04,Tables,895,86.18,33.82,2914.75
2025-11-04,Hotel,836,86.45,29.56,2555.27
2025-11-04,F&B,1078,81.16,19.75,1603.24
2025-11-05,Slots,861,75.03,24.62,1847.42
2025-11-05,Tables,1196,83.82,24.62,2063.35
2025-11-05,Hotel,1195,81.24,32.4,2632.24
2025-11-05,F&B,1064,103.96,34.15,3550.17
2025-11-06,Slots,1650,144.09,19.42,2797.63
2025-11-06,Tables,1892,188.21,23.59,4439.42
2025-11-06,Hotel,1690,178.1,34.09,6070.56
2025-11-06,F&B,1967,145.41,19.55,2842.83
2025-11-07,Slots,1865,125.85,34.93,4395.89
2025-11-07,Tables,1433,129.21,33.09,4275.59
2025-11-07,Hotel,1034,79.9,34.47,2754.0
2025-11-07,F&B,1832,137.43,28.51,3918.04
2025-11-08,Slots,1997,154.72,19.24,2976.44
2025-11-08,Tables,1745,122.51,20.49,2510.59
2025-11-08,Hotel,828,96.35,34.77,3350.29
2025-11-08,F&B,1299,134.52,33.43,4497.0
2025-11-09,Slots,1955,187.05,30.04,5618.93
2025-11-09,Tables,1244,116.85,29.99,3503.99
2025-11-09,Hotel,1513,105.48,19.89,2097.96
2025-11-09,F&B,972,120.3,25.97,3123.98
2025-11-10,Slots,1881,142.64,31.04,4427.95
2025-11-10,Tables,1694,135.04,30.68,4143.39
2025-11-10,Hotel,1147,77.84,24.37,1897.2
2025-11-10,F&B,1623,138.73,25.42,3526.32
2025-11-11,Slots,857,106.0,34.49,3655.64
2025-11-11,Tables,1614,113.36,26.97,3057.39
2025-11-11,Hotel,1002,69.42,22.3,1548.13
2025-11-11,F&B,846,68.19,29.83,2034.07
2025-11-12,Slots,1455,110.56,33.56,3710.48
2025-11-12,Tables,1535,182.63,24.71,4512.18
2025-11-12,Hotel,1467,141.74,20.88,2960.27
2025-11-12,F&B,1475,131.16,24.01,3148.73
2025-11-13,Slots,1339,156.72,34.56,5416.83
2025-11-13,Tables,1301,158.15,22.76,3598.93
2025-11-13,Hotel,1260,98.49,20.76,2045.1
2025-11-13,F&B,1189,81.17,30.34,2462.42
2025-11-14,Slots,1249,145.58,32.9,4790.19
2025-11-14,Tables,1676,183.09,24.99,4575.73
2025-11-14,Hotel,1173,85.78,34.78,2983.89
2025-11-14,F&B,976,91.75,30.74,2820.77
2025-11-15,Slots,1626,117.02,32.25,3774.14
2025-11-15,Tables,904,82.91,22.65,1877.68
2025-11-15,Hotel,1622,115.42,31.82,3672.58
2025-11-15,F&B,1570,132.07,31.07,4103.65
2025-11-16,Slots,1476,110.98,24.42,2710.54
2025-11-16,Tables,1908,171.06,20.2,3454.73
2025-11-16,Hotel,850,85.66,21.52,1843.62
2025-11-16,F&B,1248,98.25,28.51,2801.01
2025-11-17,Slots,894,101.65,29.42,2990.21
2025-11-17,Tables,1473,129.97,32.13,4176.33
2025-11-17,Hotel,1067,77.8,34.46,2680.63
2025-11-17,F&B,1789,126.55,24.86,3145.96
2025-11-18,Slots,1423,125.26,25.15,3150.19
2025-11-18,Tables,1652,132.42,31.69,4195.8
2025-11-18,Hotel,902,100.73,18.25,1838.05
2025-11-18,F&B,1605,130.95,28.82,3774.36
2025-11-19,Slots,1658,191.96,30.35,5825.88
2025-11-19,Tables,1048,90.36,31.32,2830.3
2025-11-19,Hotel,1819,180.35,26.9,4851.75
2025-11-19,F&B,880,60.08,20.5,1231.7
2025-11-20,Slots,983,70.75,31.07,2198.21
2025-11-20,Tables,1783,214.28,28.55,6118.38
2025-11-20,Hotel,1004,106.09,27.85,2954.96
2025-11-20,F&B,910,102.22,20.18,2062.52
2025-11-21,Slots,894,82.76,29.86,2471.29
2025-11-21,Tables,1699,183.22,23.88,4374.55
2025-11-21,Hotel,1466,115.68,20.93,2421.11
2025-11-21,F&B,1433,149.79,31.97,4788.74
2025-11-22,Slots,1403,134.47,18.54,2493.22
2025-11-22,Tables,1637,185.09,25.83,4781.42
2025-11-22,Hotel,1145,80.3,20.19,1621.1
2025-11-22,F&B,1896,219.29,26.18,5740.93
2025-11-23,Slots,1013,118.17,32.85,3882.02
2025-11-23,Tables,1630,153.18,18.04,2764.02
2025-11-23,Hotel,1603,117.49,30.72,3609.42
2025-11-23,F&B,1518,129.12,33.71,4352.61
2025-11-24,Slots,1325,107.48,24.27,2608.72
2025-11-24,Tables,1164,137.97,20.51,2830.06
2025-11-24,Hotel,1682,129.45,33.22,4300.13
2025-11-24,F&B,1549,116.93,18.52,2165.3
2025-11-25,Slots,1605,136.85,22.12,3027.36
2025-11-25,Tables,1284,138.42,27.59,3818.7
2025-11-25,Hotel,885,85.99,20.04,1722.79
2025-11-25,F&B,944,90.76,26.06,2365.11
2025-11-26,Slots,866,69.05,26.15,1805.84
2025-11-26,Tables,1027,87.33,27.98,2443.22
2025-11-26,Hotel,1547,173.96,22.82,3970.4
2025-11-26,F&B,1491,119.08,27.7,3298.79
2025-11-27,Slots,1114,74.74,28.3,2114.92
2025-11-27,Tables,1461,152.55,24.21,3693.34
2025-11-27,Hotel,1423,155.95,21.17,3301.7
2025-11-27,F&B,1149,124.71,33.25,4145.88
2025-11-28,Slots,1558,186.33,18.31,3411.75
2025-11-28,Tables,1028,69.1,19.9,1375.44
2025-11-28,Hotel,1267,85.69,32.71,2803.15
2025-11-28,F&B,1445,97.47,26.34,2567.56
2025-11-29,Slots,1746,127.02,30.21,3837.71
2025-11-29,Tables,1514,126.15,22.76,2871.2
2025-11-29,Hotel,1125,76.14,30.09,2290.68
2025-11-29,F&B,1523,131.82,22.12,2916.08
2025-11-30,Slots,1358,104.86,31.05,3256.14
2025-11-30,Tables,938,64.58,23.45,1514.51
2025-11-30,Hotel,1058,126.51,23.72,3001.18
2025-11-30,F&B,809,68.33,27.33,1867.48
2025-12-01,Slots,1697,165.46,31.77,5256.2
2025-12-01,Tables,1120,124.84,18.05,2252.8
2025-12-01,Hotel,1576,129.5,26.02,3369.29
2025-12-01,F&B,1918,132.21,32.12,4246.81
2025-12-02,Slots,1035,95.31,33.86,3227.09
2025-12-02,Tables,1960,207.74,24.45,5078.52
2025-12-02,Hotel,1312,99.49,27.77,2762.32
2025-12-02,F&B,1672,126.16,31.59,3985.51
2025-12-03,Slots,1524,163.79,22.01,3604.4
2025-12-03,Tables,877,75.21,24.1,1812.45
2025-12-03,Hotel,1865,173.53,31.88,5532.67
2025-12-03,F&B,1415,133.01,25.87,3440.28
2025-12-04,Slots,1221,103.66,25.46,2639.14
2025-12-04,Tables,1792,186.17,33.29,6198.19
2025-12-04,Hotel,1302,111.06,19.13,2124.93
2025-12-04,F&B,903,73.0,19.99,1459.09
2025-12-05,Slots,1378,111.18,23.69,2634.31
2025-12-05,Tables,1838,129.89,26.42,3431.99
2025-12-05,Hotel,1277,89.57,31.41,2813.0
2025-12-05,F&B,1349,101.68,30.02,3052.37
2025-12-06,Slots,1750,194.4,21.48,4175.25
2025-12-06,Tables,1316,93.09,23.82,2216.9
2025-12-06,Hotel,1605,136.53,24.44,3336.87
2025-12-06,F&B,1015,83.01,26.54,2202.95
2025-12-07,Slots,1980,206.15,30.28,6241.8
2025-12-07,Tables,929,114.9,28.17,3237.09
2025-12-07,Hotel,1593,163.17,23.88,3896.07
2025-12-07,F&B,810,55.05,23.82,1311.48
2025-12-08,Slots,1957,181.1,25.85,4682.27
2025-12-08,Tables,1101,89.48,33.5,2997.66
2025-12-08,Hotel,1757,201.82,22.35,4511.25
2025-12-08,F&B,1627,133.9,19.74,2642.89
2025-12-09,Slots,1807,140.33,33.68,4726.75
2025-12-09,Tables,926,102.12,27.8,2838.62
2025-12-09,Hotel,1813,212.26,19.77,4196.93
2025-12-09,F&B,1578,141.45,19.93,2818.4
2025-12-10,Slots,1219,137.39,33.65,4623.72
2025-12-10,Tables,1366,142.41,28.33,4035.18
2025-12-10,Hotel,1768,133.84,21.49,2876.88
2025-12-10,F&B,1112,138.44,23.67,3276.78
2025-12-11,Slots,1374,126.04,32.68,4118.88
2025-12-11,Tables,1185,105.24,26.17,2754.59
2025-12-11,Hotel,1146,102.64,21.82,2239.37
2025-12-11,F&B,1675,116.41,22.22,2586.53
2025-12-12,Slots,824,71.72,25.12,1801.82
2025-12-12,Tables,1984,188.29,27.87,5247.73
2025-12-12,Hotel,1461,153.13,21.62,3310.07
2025-12-12,F&B,1872,202.46,34.34,6952.13
2025-12-13,Slots,1488,125.03,32.63,4079.82
2025-12-13,Tables,1886,125.92,26.54,3341.5
2025-12-13,Hotel,1964,182.17,25.26,4600.74
2025-12-13,F&B,1751,122.56,21.49,2633.58
2025-12-14,Slots,1084,87.6,24.42,2139.24
2025-12-14,Tables,1967,164.55,19.12,3145.69
2025-12-14,Hotel,1389,106.86,26.97,2881.99
2025-12-14,F&B,1301,117.36,24.81,2912.11
2025-12-15,Slots,1746,192.15,21.09,4052.96
2025-12-15,Tables,1724,202.15,30.81,6227.12
2025-12-15,Hotel,1577,159.37,28.95,4613.44
2025-12-15,F&B,886,59.65,32.28,1925.39
2025-12-16,Slots,1831,223.57,21.77,4868.0
2025-12-16,Tables,1242,107.64,28.12,3026.36
2025-12-16,Hotel,1560,114.71,21.04,2412.97
2025-12-16,F&B,1806,138.44,31.69,4387.1
2025-12-17,Slots,1911,146.37,32.55,4763.91
2025-12-17,Tables,1290,87.53,34.05,2980.68
2025-12-17,Hotel,981,103.98,22.98,2389.73
2025-12-17,F&B,1743,202.47,28.77,5824.21
2025-12-18,Slots,950,68.16,20.09,1369.23
2025-12-18,Tables,1714,141.87,25.16,3570.1
2025-12-18,Hotel,1313,91.34,28.62,2614.33
2025-12-18,F&B,1545,112.15,24.17,2710.98
2025-12-19,Slots,1942,196.63,28.61,5625.67
2025-12-19,Tables,1733,129.17,24.17,3121.54
2025-12-19,Hotel,1876,186.46,34.12,6362.63
2025-12-19,F&B,1653,122.82,19.94,2449.36
2025-12-20,Slots,1981,173.59,33.21,5764.43
2025-12-20,Tables,927,99.95,26.24,2622.78
2025-12-20,Hotel,1325,100.44,29.88,3001.22
2025-12-20,F&B,1293,86.83,26.94,2338.97
2025-12-21,Slots,1932,150.48,29.61,4456.46
2025-12-21,Tables,1637,113.68,20.0,2273.8
2025-12-21,Hotel,840,84.69,27.42,2322.32
2025-12-21,F&B,1976,172.09,30.24,5204.64
2025-12-22,Slots,1141,127.37,33.3,4241.44
2025-12-22,Tables,1445,110.09,22.26,2450.93
2025-12-22,Hotel,1620,175.56,33.55,5889.17
2025-12-22,F&B,1721,158.9,31.11,4942.68
2025-12-23,Slots,929,101.38,30.55,3096.66
2025-12-23,Tables,1618,187.43,31.11,5830.47
2025-12-23,Hotel,828,77.2,22.91,1768.53
2025-12-23,F&B,1475,113.17,23.05,2608.72
2025-12-24,Slots,897,83.24,34.22,2848.3
2025-12-24,Tables,1205,91.79,21.65,1987.59
2025-12-24,Hotel,1550,157.59,28.12,4430.76
2025-12-24,F&B,1757,119.63,20.63,2467.95
2025-12-25,Slots,1000,74.65,19.81,1478.92
2025-12-25,Tables,1512,144.54,25.02,3616.02
2025-12-25,Hotel,860,67.09,25.39,1703.53
2025-12-25,F&B,1862,218.25,19.32,4217.01
2025-12-26,Slots,907,70.51,22.63,1595.46
2025-12-26,Tables,1665,190.9,23.35,4457.26
2025-12-26,Hotel,1616,180.4,34.15,6161.48
2025-12-26,F&B,811,68.77,32.84,2258.34
2025-12-27,Slots,1460,109.67,30.31,3323.92
2025-12-27,Tables,1775,127.29,22.24,2831.52
2025-12-27,Hotel,1912,152.63,29.78,4546.06
2025-12-27,F&B,1288,88.17,18.67,1646.13
2025-12-28,Slots,1577,130.14,34.99,4553.42
2025-12-28,Tables,1780,157.35,23.32,3669.14
2025-12-28,Hotel,1134,88.03,23.05,2029.53
2025-12-28,F&B,1487,168.84,25.17,4249.78
2025-12-29,Slots,1393,105.41,18.93,1995.67
2025-12-29,Tables,1794,175.3,32.09,5625.75
2025-12-29,Hotel,1982,187.82,27.53,5170.86
2025-12-29,F&B,1921,135.33,27.01,3655.86
2025-12-30,Slots,1785,136.54,19.11,2609.37
2025-12-30,Tables,1296,110.12,29.25,3220.85
2025-12-30,Hotel,1521,130.66,25.26,3299.86
2025-12-30,F&B,1931,200.5,18.41,3692.25
2025-12-31,Slots,1993,133.47,18.0,2402.97
2025-12-31,Tables,1964,183.76,33.85,6221.08
2025-12-31,Hotel,1862,230.83,18.9,4361.76
2025-12-31,F&B,1276,154.42,26.16,4039.05
